Name,Year,URL,Description
349,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
350,Drumline,2002,https://boxd.it/1Q2Y,
351,Erin Brockovich,2000,https://boxd.it/2al2,
352,DodgeBall: A True Underdog Story,2004,https://boxd.it/1YAY,
353,Apollo 13,1995,https://boxd.it/2a6G,
354,Lawrence of Arabia,1962,https://boxd.it/2wRE,
355,The Wiz,1978,https://boxd.it/1wG0,
356,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/2bfk,
357,The Color Purple,1985,https://boxd.it/29oO,
358,The Hunt for Red October,1990,https://boxd.it/28lk,
359,"I, Tonya",2017,https://boxd.it/dzR0,
360,The Graduate,1967,https://boxd.it/18Im,
361,Kiss Kiss Bang Bang,2005,https://boxd.it/23c8,
362,World War Z,2013,https://boxd.it/2p2E,
363,Mars Attacks!,1996,https://boxd.it/2bd4,
364,Milk,2008,https://boxd.it/1WZC,
365,Team America: World Police,2004,https://boxd.it/24QS,
366,Riddick,2013,https://boxd.it/35Jq,
367,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
368,Attack the Block,2011,https://boxd.it/hFO,
369,I Know What You Did Last Summer,1997,https://boxd.it/2588,
370,The Girl on the Train,2016,https://boxd.it/bCJY,
371,Ender's Game,2013,https://boxd.it/2N9Y,
372,Rain Man,1988,https://boxd.it/2avw,
373,The Equalizer,2014,https://boxd.it/4TUK,
374,Out of Africa,1985,https://boxd.it/2a0S,
375,Lemony Snicket's A Series of Unfortunate Events,2004,https://boxd.it/1T7s,
376,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,
377,Boyz n the Hood,1991,https://boxd.it/29Ug,
378,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,
379,Walk the Line,2005,https://boxd.it/2bdS,
380,"Synecdoche, New York",2008,https://boxd.it/23zw,
381,Ready Player One,2018,https://boxd.it/aZes,
382,Queen of Katwe,2016,https://boxd.it/agW0,
383,RED,2010,https://boxd.it/13uu,
384,Peter Pan,1953,https://boxd.it/1VCC,
385,Assassin's Creed,2016,https://boxd.it/41IK,
386,War of the Worlds,2005,https://boxd.it/2bde,
387,Legally Blonde,2001,https://boxd.it/1ZNa,
388,Free Guy,2021,https://boxd.it/k8dm,
389,The French Dispatch,2021,https://boxd.it/jLP8,
390,Hercules,2014,https://boxd.it/5B7s,
391,Elysium,2013,https://boxd.it/2cBm,
392,Aloha,2015,https://boxd.it/6BQk,
393,Centurion,2010,https://boxd.it/1yPo,
394,Before Sunrise,1995,https://boxd.it/2bcU,
395,Sound of Metal,2019,https://boxd.it/i7Q4,
396,The Place Beyond the Pines,2012,https://boxd.it/3mDu,
397,Ben-Hur,1959,https://boxd.it/29RQ,
